"","지역","대여건수","지하철","평균기온","평균습도","평균풍속","강수량","이산화질소농도","일산화탄소농도","아황산가스농도","미세먼지량","초미세먼지량","버스","계절","WeekDay","강수량수준"
"266","군집 5",199,406002,-0.899999976,56.09999847,2.200000048,0,0.037,0.8,0.004,57,17,424878,"겨울",0,"1mm미만"
"267","군집 7",326,974187,-1,55,2.299999952,0,0.034,0.5,0.004,41,15,321536,"겨울",0,"1mm미만"
"268","군집 2",144,235500,-0.200000003,55.09999847,3,0,0.04,0.6,0.006,47,15,308883,"겨울",0,"1mm미만"
"269","군집 1",301,1409996,4,54.40000153,1.399999976,0,0.037,0.5,0.006,62,30,678135,"겨울",0,"1mm미만"
"270","군집 2",134,310167,4.699999809,43,2.599999905,0,0.037,0.6,0.005,76,33,234305,"겨울",0,"1mm미만"
"271","군집 2",79,128180,4.099999905,55.59999847,1.5,0,0.038,0.7,0.006,65,28,426635,"겨울",0,"1mm미만"
"272","군집 3",220,363627,4.599999905,57.40000153,2.799999952,0,0.03,0.3,0.008,56,32,637268,"겨울",0,"1mm미만"
"273","군집 4",450,473814,4.599999905,54.09999847,2.200000048,0,0.038,0.6,0.004,64,29,229877,"겨울",0,"1mm미만"
"274","군집 5",177,603429,3.900000095,54.40000153,3.5,0,0.022,0.6,0.008,84,34,466430,"겨울",0,"1mm미만"
"275","군집 2",95,192872,4.400000095,49.29999924,3.299999952,0,0.029,0.5,0.006,64,30,334163,"겨울",0,"1mm미만"
"276","군집 5",165,450278,4.099999905,59.29999924,1.399999976,0,0.034,0.6,0.008,65,29,362174,"겨울",0,"1mm미만"
"277","군집 2",48,206387,3.599999905,55.70000076,1.200000048,0,0.033,0.7,0.006,76,30,293581,"겨울",0,"1mm미만"
"278","군집 5",275,404224,4.5,49.90000153,2.400000095,0,0.038,0.6,0.007,58,27,452855,"겨울",0,"1mm미만"
"279","군집 5",165,527514,4.900000095,57.40000153,3,0,0.024,0.5,0.006,65,32,470295,"겨울",0,"1mm미만"
"280","군집 6",893,728938,4.199999809,59.40000153,2.099999905,0,0.028,0.6,0.004,66,35,404441,"겨울",0,"1mm미만"
"281","군집 5",391,146314,4.099999905,54.79999924,3,0,0.025,0.4,0.004,78,29,519972,"겨울",0,"1mm미만"
"282","군집 4",508,377093,4.199999809,54.09999847,2.799999952,0,0.03,0.5,0.007,73,36,234682,"겨울",0,"1mm미만"
"283","군집 5",173,364398,4.199999809,51.70000076,1.600000024,0,0.04,0.8,0.007,72,31,509930,"겨울",0,"1mm미만"
"284","군집 3",335,646816,4.699999809,52.20000076,2,0,0.028,0.7,0.006,73,28,497264,"겨울",0,"1mm미만"
"285","군집 2",100,171859,4.300000191,54.79999924,2.200000048,0,0.03,0.6,0.006,59,30,347288,"겨울",0,"1mm미만"
"286","군집 2",136,350671,5,37.09999847,2.400000095,0,0.03,0.5,0.005,64,31,319480,"겨울",0,"1mm미만"
"287","군집 5",214,390840,4,55.09999847,3,0,0.03,0.8,0.005,79,33,413500,"겨울",0,"1mm미만"
"288","군집 7",353,928125,3.400000095,55.79999924,2.299999952,0,0.034,0.6,0.006,58,28,300374,"겨울",0,"1mm미만"
"289","군집 2",136,233544,4.5,54.59999847,2.900000095,0,0.036,0.6,0.007,61,27,307469,"겨울",0,"1mm미만"
"290","군집 1",120,376581,0.300000012,29.89999962,1.600000024,0,0.02,0.4,0.005,34,15,201615,"겨울",1,"1mm미만"
"291","군집 2",111,115262,1,19.39999962,2.299999952,0,0.02,0.5,0.004,44,17,93073,"겨울",1,"1mm미만"
"292","군집 2",54,59620,0.800000012,28.79999924,1.399999976,0,0.01,0.4,0.005,34,12,220398,"겨울",1,"1mm미만"
"293","군집 4",218,220349,1.100000024,29.60000038,2,0,0.02,0.5,0.003,37,15,98115,"겨울",1,"1mm미만"
"294","군집 5",100,249892,0,29.60000038,2.200000048,0,0.014,0.5,0.007,45,17,201121,"겨울",1,"1mm미만"
"295","군집 2",43,54677,0.400000006,24.29999924,2.099999905,0,0.022,0.4,0.005,36,15,146832,"겨울",1,"1mm미만"
"296","군집 2",42,93410,0.200000003,28.70000076,1.200000048,0,0.012,0.4,0.006,41,15,135519,"겨울",1,"1mm미만"
"297","군집 5",166,198025,0.800000012,24.79999924,1.899999976,0,0.019,0.6,0.006,34,16,187355,"겨울",1,"1mm미만"
"298","군집 5",108,226702,0.5,33.20000076,2.200000048,0,0.021,0.4,0.004,37,14,202112,"겨울",1,"1mm미만"
"299","군집 6",431,299390,-0.300000012,34.59999847,1.899999976,0,0.017,0.5,0.003,37,17,151289,"겨울",1,"1mm미만"
"300","군집 5",231,48253,-0.600000024,30.39999962,1.799999952,0,0.019,0.3,0.004,42,14,217743,"겨울",1,"1mm미만"
"301","군집 4",246,129967,0.600000024,30.39999962,2.299999952,0,0.016,0.3,0.005,42,17,93657,"겨울",1,"1mm미만"
"302","군집 5",121,152432,0.400000006,25.60000038,1.5,0,0.018,0.5,0.005,38,15,225764,"겨울",1,"1mm미만"
"303","군집 3",218,240956,1.200000048,27.79999924,1.399999976,0,0.015,0.6,0.005,43,15,193517,"겨울",1,"1mm미만"
"304","군집 2",62,63156,-0.100000001,31,1.899999976,0,0.019,0.4,0.004,34,15,134684,"겨울",1,"1mm미만"
"305","군집 2",101,189979,0.800000012,12.39999962,2.099999905,0,0.019,0.4,0.004,36,14,135243,"겨울",1,"1mm미만"
"306","군집 5",169,164525,-0.5,30.39999962,2.299999952,0,0.02,0.7,0.004,45,16,190910,"겨울",1,"1mm미만"
"307","군집 7",151,370381,-0.5,29.39999962,2,0,0.016,0.4,0.004,31,14,117548,"겨울",1,"1mm미만"
"308","군집 2",109,105696,0.600000024,29.5,1.899999976,0,0.022,0.5,0.007,33,14,136014,"겨울",1,"1mm미만"
"309","군집 1",143,242848,0,42.90000153,1.299999952,0,0.037,0.5,0.005,43,17,132502,"겨울",1,"1mm미만"
"310","군집 2",78,100055,0.5,31.79999924,2.200000048,0,0.054,0.7,0.004,60,23,73330,"겨울",1,"1mm미만"
"311","군집 2",60,67627,0.200000003,41.40000153,1.299999952,0,0.021,0.5,0.003,34,10,194289,"겨울",1,"1mm미만"
"312","군집 4",159,184308,0.5,41.29999924,1.700000048,0,0.046,0.7,0.003,46,17,79021,"겨울",1,"1mm미만"
"313","군집 5",80,225151,-0.300000012,44.29999924,2.400000095,0,0.028,0.6,0.006,58,30,176356,"겨울",1,"1mm미만"
"314","군집 2",34,50686,0.200000003,37.59999847,1.700000048,0,0.043,0.6,0.004,44,22,128802,"겨울",1,"1mm미만"
"315","군집 2",25,93485,-0.5,43.09999847,1.100000024,0,0.036,0.5,0.005,54,24,120806,"겨울",1,"1mm미만"
"316","군집 5",122,165967,0.200000003,37.90000153,2,0,0.028,0.6,0.006,45,19,144773,"겨울",1,"1mm미만"
"317","군집 5",97,190225,0.100000001,49,2,0,0.038,0.5,0.003,43,15,161057,"겨울",1,"1mm미만"
"318","군집 6",305,231174,-0.899999976,50,1.399999976,0,0.031,0.6,0.003,44,22,113803,"겨울",1,"1mm미만"
"319","군집 5",172,45322,-0.899999976,43.90000153,1.600000024,0,0.03,0.4,0.004,60,15,173419,"겨울",1,"1mm미만"
"320","군집 4",201,109880,0.300000012,44.70000076,2,0,0.033,0.5,0.004,51,23,69993,"겨울",1,"1mm미만"
"321","군집 5",90,149163,-0.100000001,37.79999924,1.5,0,0.05,0.8,0.005,52,12,188794,"겨울",1,"1mm미만"
"322","군집 3",175,198032,0.5,41.79999924,1,0,0.035,0.6,0.004,52,24,145421,"겨울",1,"1mm미만"
"323","군집 2",45,52574,-0.300000012,47.29999924,1.200000048,0,0.034,0.7,0.004,44,21,108885,"겨울",1,"1mm미만"
"324","군집 2",67,173541,0.5,25,1.799999952,0,0.031,0.4,0.003,40,12,115558,"겨울",1,"1mm미만"
"325","군집 5",139,154249,-1.100000024,43.59999847,1.899999976,0,0.029,0.8,0.004,64,14,166222,"겨울",1,"1mm미만"
"326","군집 7",83,348918,-0.899999976,42.59999847,2,0,0.03,0.6,0.004,41,19,101788,"겨울",1,"1mm미만"
